,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),Mean Travel Time (Minute)
169,1277,"300 Hayes St, San Francisco, CA",1046,"300 Grand Avenue, Adams Point, Oakland",3/22/2020 - 3/29/2020,875,747,1024,14.58
170,1277,"300 Hayes St, San Francisco, CA",1047,"1700 Eastshore Boulevard, El Cerrito",3/22/2020 - 3/29/2020,1036,819,1309,17.27
171,1277,"300 Hayes St, San Francisco, CA",1048,"Upper Fire Trail, Berkeley",3/22/2020 - 3/29/2020,1042,868,1249,17.37
172,1277,"300 Hayes St, San Francisco, CA",1050,"3700 Towns Court, Pinole",3/22/2020 - 3/29/2020,1367,863,2163,22.78
173,1277,"300 Hayes St, San Francisco, CA",1053,"500 Haddon Road, Cleveland Heights, Oakland",3/22/2020 - 3/29/2020,910,782,1058,15.17
174,1277,"300 Hayes St, San Francisco, CA",1056,"100 Lakeside Drive, Downtown Oakland, Oakland",3/22/2020 - 3/29/2020,1049,888,1238,17.48
175,1277,"300 Hayes St, San Francisco, CA",1057,"6300 Brookside Avenue, Upper Rockridge, Oakland",3/22/2020 - 3/29/2020,915,776,1078,15.25
176,1277,"300 Hayes St, San Francisco, CA",1059,"900 East 22nd Street, Clinton, Oakland",3/22/2020 - 3/29/2020,1014,871,1179,16.9
177,1277,"300 Hayes St, San Francisco, CA",1060,"3600 East 8th Street, South Kennedy Tract, Oakland",3/22/2020 - 3/29/2020,1067,885,1286,17.78
178,1277,"300 Hayes St, San Francisco, CA",1063,"800 54th Avenue, Coliseum Industrial, Oakland",3/22/2020 - 3/29/2020,1142,921,1415,19.03
