"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes St, San Francisco, CA","1294","600 Panorama Drive, Midtown Terrace, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",672,548,823
"1277","300 Hayes St, San Francisco, CA","1295","0 Avoca Alley, West of Twin Peaks, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",655,522,821
"1277","300 Hayes St, San Francisco, CA","1296","1300 22nd Avenue, Sunset District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",541,453,645
"1277","300 Hayes St, San Francisco, CA","1297","100 Font Boulevard, Lakeshore, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",851,669,1082
"1277","300 Hayes St, San Francisco, CA","1298","200 3rd Avenue, Richmond District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",511,436,598
"1277","300 Hayes St, San Francisco, CA","1299","8700 Mission Rock Street, South of Market, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",382,279,522
"1277","300 Hayes St, San Francisco, CA","1300","200 John F Kennedy Drive, Golden Gate Park, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",288,200,413
"1277","300 Hayes St, San Francisco, CA","1302","Tasman Drive, Santa Clara","3/22/2020 - 3/29/2020, Every day, Daily Average",2347,2119,2598
"1277","300 Hayes St, San Francisco, CA","1304","2300 Lafayette Street, Santa Clara","3/22/2020 - 3/29/2020, Every day, Daily Average",2488,2214,2795
"1277","300 Hayes St, San Francisco, CA","1339","700 San Juan Drive, San Miguel, Sunnyvale","3/22/2020 - 3/29/2020, Every day, Daily Average",2376,2184,2584
"1277","300 Hayes St, San Francisco, CA","1437","200 Knowles Avenue, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",660,534,815
"1277","300 Hayes St, San Francisco, CA","1438","300 87th Street, St. Francis, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",682,545,853
"1277","300 Hayes St, San Francisco, CA","1443","100 Serramonte Boulevard, Serramonte, Daly City","3/22/2020 - 3/29/2020, Every day, Daily Average",772,627,949
"1277","300 Hayes St, San Francisco, CA","1446","700 Larch Avenue, Paradise Valley, South San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",806,722,898
"1277","300 Hayes St, San Francisco, CA","1448","300 Baden Avenue, Downtown, South San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",768,681,865
"1277","300 Hayes St, San Francisco, CA","1449","500 Forbes Boulevard, The East Side, South San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",697,542,895
"1277","300 Hayes St, San Francisco, CA","1450","0 Brookhaven Court, Fairmont, Pacifica","3/22/2020 - 3/29/2020, Every day, Daily Average",838,737,951
"1277","300 Hayes St, San Francisco, CA","1454","300 East 28th Avenue, South San Mateo, San Mateo","3/22/2020 - 3/29/2020, Every day, Daily Average",1297,1128,1491
"1277","300 Hayes St, San Francisco, CA","1455","1800 Helene Court, East San Mateo, San Mateo","3/22/2020 - 3/29/2020, Every day, Daily Average",1176,1009,1370
"1277","300 Hayes St, San Francisco, CA","1457","1500 Donner Avenue, San Bruno","3/22/2020 - 3/29/2020, Every day, Daily Average",946,861,1038
"1277","300 Hayes St, San Francisco, CA","1460","400 Williams Place, Central San Mateo, San Mateo","3/22/2020 - 3/29/2020, Every day, Daily Average",1479,1184,1847
"1277","300 Hayes St, San Francisco, CA","1461","200 North Fremont Street, Central San Mateo, San Mateo","3/22/2020 - 3/29/2020, Every day, Daily Average",1129,1012,1258
"1277","300 Hayes St, San Francisco, CA","1464","200 Cupertino Way, South San Mateo, San Mateo","3/22/2020 - 3/29/2020, Every day, Daily Average",1334,1181,1506
"1277","300 Hayes St, San Francisco, CA","1472","200 Oakhurst Place, Suburban Park - Lorelei Manor - Flood Park Triangle, Menlo Park","3/22/2020 - 3/29/2020, Every day, Daily Average",1708,1593,1830
"1277","300 Hayes St, San Francisco, CA","1498","1100 Park Avenue, Emeryville","3/22/2020 - 3/29/2020, Every day, Daily Average",763,641,907
"1277","300 Hayes St, San Francisco, CA","1504","5800 Christie Avenue, Emeryville","3/22/2020 - 3/29/2020, Every day, Daily Average",752,635,890
"1277","300 Hayes St, San Francisco, CA","1512","2000 Essex Street, South Berkeley, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",998,872,1141
"1277","300 Hayes St, San Francisco, CA","1513","Dwight D. Eisenhower Highway, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",840,704,1001
"1277","300 Hayes St, San Francisco, CA","1518","1300 67th Street, Southwest Berkeley, Berkeley","3/22/2020 - 3/29/2020, Every day, Daily Average",924,830,1028
"1277","300 Hayes St, San Francisco, CA","1519","2600 99th Avenue, Toler Heights, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1264,1170,1365
"1277","300 Hayes St, San Francisco, CA","1528","6400 Gwin Road, Merriewood, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",971,824,1143
"1277","300 Hayes St, San Francisco, CA","1534","600 East 8th Street, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",984,806,1199
"1277","300 Hayes St, San Francisco, CA","1536","2900 Sheffield Avenue, Reservoir Hills, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",980,850,1128
"1277","300 Hayes St, San Francisco, CA","1537","3200 Suter Street, Upper Peralta Creek, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",1030,892,1189
"1277","300 Hayes St, San Francisco, CA","1545","1300 Willow Avenue, Hercules","3/22/2020 - 3/29/2020, Every day, Daily Average",1576,1335,1859
"1277","300 Hayes St, San Francisco, CA","1546","5400 Sobrante Avenue, El Sobrante","3/22/2020 - 3/29/2020, Every day, Daily Average",1349,749,2428
"1277","300 Hayes St, San Francisco, CA","1547","2600 Brian Road, San Pablo","3/22/2020 - 3/29/2020, Every day, Daily Average",1361,1173,1578
"1277","300 Hayes St, San Francisco, CA","1559","500 Embarcadero West, Downtown Oakland, Oakland","3/22/2020 - 3/29/2020, Every day, Daily Average",894,719,1111
"1277","300 Hayes St, San Francisco, CA","1570","0 Tehan Canyon Road, Pleasanton","3/22/2020 - 3/29/2020, Every day, Daily Average",1941,1797,2095
"1277","300 Hayes St, San Francisco, CA","1577","800 West Tower Avenue, Alameda","3/22/2020 - 3/29/2020, Every day, Daily Average",1108,1026,1195
"1277","300 Hayes St, San Francisco, CA","1608","1100 Studebaker Road, Saranap, Walnut Creek","3/22/2020 - 3/29/2020, Every day, Daily Average",1446,1346,1552
"1277","300 Hayes St, San Francisco, CA","1629","500 Peru Avenue, Excelsior, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",551,451,673
"1277","300 Hayes St, San Francisco, CA","1630","800 Bacon Street, Excelsior, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",491,412,585
"1277","300 Hayes St, San Francisco, CA","1639","0 Curtis Street, Crocker-Amazon, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",753,653,867
"1277","300 Hayes St, San Francisco, CA","1646","100 Murray Street, Bernal Heights, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",406,325,506
"1277","300 Hayes St, San Francisco, CA","1647","500 Brunswick Street, Crocker-Amazon, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",753,639,886
"1277","300 Hayes St, San Francisco, CA","1648","Historic Trail, Inner Sunset, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",481,337,685
"1277","300 Hayes St, San Francisco, CA","1649","1300 10th Avenue, Inner Sunset, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",428,355,514
"1277","300 Hayes St, San Francisco, CA","1650","1900 16th Avenue, Inner Sunset, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",689,587,808
"1277","300 Hayes St, San Francisco, CA","1651","600 39th Street, North & East, Richmond","3/22/2020 - 3/29/2020, Every day, Daily Average",1102,930,1304
"1277","300 Hayes St, San Francisco, CA","1655","100 South 35th Street, Pullman, Richmond","3/22/2020 - 3/29/2020, Every day, Daily Average",1049,830,1325
"1277","300 Hayes St, San Francisco, CA","1674","200 Hyde Street, Tenderloin, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",250,160,389
"1277","300 Hayes St, San Francisco, CA","1677","200 Funston Road, Marina District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",401,298,538
"1277","300 Hayes St, San Francisco, CA","1682","700 Haight Street, Lower Haight, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",244,152,390
"1277","300 Hayes St, San Francisco, CA","1686","0 The Embarcadero, North Beach, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",600,484,743
"1277","300 Hayes St, San Francisco, CA","1687","1400 Powell Street, Russian Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",411,318,529
"1277","300 Hayes St, San Francisco, CA","1688","1100 Taylor Street, Nob Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",385,303,488
"1277","300 Hayes St, San Francisco, CA","1689","200 Sutter Street, Financial District, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",434,304,618
"1277","300 Hayes St, San Francisco, CA","1690","900 Pine Street, Lower Nob Hill, San Francisco","3/22/2020 - 3/29/2020, Every day, Daily Average",351,245,501
